saisons,equipe_dom,score_dom,equipe_ext
"
2022/2023                        
",ANGERS SCO,2-1,ESTAC TROYES
"
2022/2023                        
",CLERMONT FOOT 63,2-0,FC LORIENT
"
2022/2023                        
",RC LENS,3-0,AC AJACCIO
"
2022/2023                        
",LOSC LILLE,2-1,FC NANTES
"
2022/2023                        
",OLYMPIQUE LYONNAIS,3-0,STADE DE REIMS
"
2022/2023                        
",OLYMPIQUE DE MARSEILLE,1-2,STADE BRESTOIS 29
"
2022/2023                        
",MONTPELLIER HÃ‰RAULT SC,2-3,OGC NICE
"
2022/2023                        
",STADE RENNAIS FC,2-0,AS MONACO
"
2022/2023                        
",RC STRASBOURG ALSACE,1-1,PARIS SAINT-GERMAIN
"
2022/2023                        
",TOULOUSE FC,1-1,AJ AUXERRE
